iso1,iso2,group,community
-14.1,5.1,1,1
-15.1,5.1,1,1
-15,4.9,1,1
-16.9,4.3,1,1
-17.4,4.6,1,1
-18.5,4.1,1,1
-17.5,3.2,1,1
-17.1,3,1,1
-16,2.7,1,1
-17.5,3.2,1,1
-17,2.8,1,1
-14.9,2.5,1,1
-16.2,2.6,1,1
-15.3,2.7,1,1
-14.7,2.8,1,1
-14.7,2.8,1,1
-14.7,2.6,1,1
-17.7,1.9,2,1
-16.4,2.3,2,1
-17.9,3.1,2,1
-16.5,2.9,2,1
-16.4,3.8,2,1
-17.3,2.9,2,1
-14.6,3.4,2,1
-14.1,4,2,1
-14.6,3.4,2,1
-15,3.4,2,1
-14.5,3.5,2,1
-14.7,3.5,2,1
-14.1,3.3,2,1
-18.1,3.1,2,1
-13.8,3.5,2,1
-14,3.3,2,1
-14.4,3.1,2,1
-14.3,2.4,2,1
-14.4,3.2,2,1
-12.2,2.1,2,1
-13.4,2.7,2,1
-15,2.5,2,1
-12.7,2.2,2,1
-12,2.2,2,1
-18.4,2.9,3,1
-16,3.8,3,1
-18.3,3.2,3,1
-15.8,3.3,3,1
-17.2,2.9,3,1
-15.6,3.9,3,1
-16.8,3.6,3,1
-17.5,4.5,3,1
-13.4,3.9,3,1
-15.5,3.4,3,1
-14.1,3.9,3,1
-13.9,4.4,3,1
-16.1,4.1,3,1
-14.6,3.6,3,1
-14.7,3.9,3,1
-13.5,3.2,3,1
-14.4,3.7,3,1
-13.7,3.5,3,1
-14.8,3.6,3,1
-14.5,3.6,3,1
-15.2,3.8,3,1
-14.3,3.3,3,1
-12.3,4.4,3,1
-13.3,5.3,3,1
-14.8,5.1,3,1
-14.6,6.6,3,1
-14.5,5.4,3,1
-13.8,5.2,3,1
-14.5,4.3,3,1
-15.6,4.9,3,1
-17,5.1,3,1
-15.8,5.2,3,1
-14.7,4.6,3,1
-14.1,4.6,3,1
-15,3.7,3,1
-19.4,2.2,4,1
-20.9,1.8,4,1
-18.3,3.2,4,1
-17.7,3.3,4,1
-17.9,3.6,4,1
-20.7,3,4,1
-15.5,3.1,4,1
-15.3,3.7,4,1
-15.4,3.1,4,1
-16,3.7,4,1
-16.9,4,4,1
-17.6,3.5,4,1
-18.9,2.8,4,1
-16.8,2.5,4,1
-17.1,3.1,4,1
-15.5,2.5,4,1
-14.6,2.9,4,1
-13.9,2.6,4,1
-17.6,3.3,4,1
-14.1,4.1,4,1
-13.4,4.8,4,1
-16.6,3.5,4,1
-17.3,3.8,4,1
-13.8,4.2,4,1
-14.7,4.2,4,1
-18.7,4.5,4,1
-15.2,4.7,4,1
-15.3,4.4,4,1
-17.5,4.3,4,1
-18.6,3.9,4,1
-18.6,2.3,5,1
-18.4,2.3,5,1
-18.1,2.3,5,1
-19,1.4,5,1
-18.2,1.7,5,1
-18,2.5,5,1
-18.6,1.3,5,1
-18.1,2.1,5,1
-18.7,1.6,5,1
-17.7,2,5,1
-17.5,1.9,5,1
-17.4,2,5,1
-19.5,1.7,5,1
-18.6,1.7,5,1
-17.6,2.1,5,1
-18.5,2.1,5,1
-18.7,2.1,5,1
-17.8,2.1,5,1
-18.4,1.9,5,1
-18.2,1.3,5,1
-18,1.6,5,1
-18.2,2.2,5,1
-18.6,1.6,5,1
-18.1,1.8,5,1
-18.3,2.3,5,1
-17.4,4.3,5,1
-16.5,4,5,1
-15.8,4.6,5,1
-18.9,4,5,1
-19.3,3.5,5,1
-18.8,3.7,5,1
-19.9,3.2,5,1
-19.7,3.5,5,1
-19,3.3,5,1
-18,3.3,5,1
-19.9,3.2,5,1
-19.9,2.8,5,1
